ABRA	LEVEL:16:KADABRA
ANORITH	LEVEL:40:ARMALDO
ARON	LEVEL:32:LAIRON
AZURILL	FRIENDSHIP:0:MARILL
BAGON	LEVEL:30:SHELGON
BALTOY	LEVEL:36:CLAYDOL
BARBOACH	LEVEL:30:WHISCASH
BAYLEEF	LEVEL:32:MEGANIUM
BELDUM	LEVEL:20:METANG
BELLSPROUT	LEVEL:21:WEEPINBELL
BULBASAUR	LEVEL:16:IVYSAUR
CACNEA	LEVEL:32:CACTURNE
CARVANHA	LEVEL:30:SHARPEDO
CASCOON	LEVEL:10:DUSTOX
CATERPIE	LEVEL:7:METAPOD
CHANSEY	FRIENDSHIP:0:BLISSEY
CHARMANDER	LEVEL:16:CHARMELEON
CHARMELEON	LEVEL:36:CHARIZARD
CHIKORITA	LEVEL:16:BAYLEEF
CHINCHOU	LEVEL:27:LANTURN
CLAMPERL	TRADE_ITEM:ITEM_DEEP_SEA_TOOTH:HUNTAIL
CLEFAIRY	ITEM:ITEM_MOON_STONE:CLEFABLE
CLEFFA	FRIENDSHIP:0:CLEFAIRY
COMBUSKEN	LEVEL:36:BLAZIKEN
CORPHISH	LEVEL:30:CRAWDAUNT
CROCONAW	LEVEL:30:FERALIGATR
CUBONE	LEVEL:28:MAROWAK
CYNDAQUIL	LEVEL:14:QUILAVA
DIGLETT	LEVEL:26:DUGTRIO
DODUO	LEVEL:31:DODRIO
DRAGONAIR	LEVEL:55:DRAGONITE
DRATINI	LEVEL:30:DRAGONAIR
DROWZEE	LEVEL:26:HYPNO
DUSKULL	LEVEL:37:DUSCLOPS
EEVEE	ITEM:ITEM_THUNDER_STONE:JOLTEON
EKANS	LEVEL:22:ARBOK
ELECTRIKE	LEVEL:26:MANECTRIC
ELEKID	LEVEL:30:ELECTABUZZ
EXEGGCUTE	ITEM:ITEM_LEAF_STONE:EXEGGUTOR
FEEBAS	BEAUTY:170:MILOTIC
FLAAFFY	LEVEL:30:AMPHAROS
GASTLY	LEVEL:25:HAUNTER
GEODUDE	LEVEL:25:GRAVELER
GLOOM	ITEM:ITEM_LEAF_STONE:VILEPLUME
GOLBAT	FRIENDSHIP:0:CROBAT
GOLDEEN	LEVEL:33:SEAKING
GRAVELER	TRADE:0:GOLEM
GRIMER	LEVEL:38:MUK
GROVYLE	LEVEL:36:SCEPTILE
GROWLITHE	ITEM:ITEM_FIRE_STONE:ARCANINE
GULPIN	LEVEL:26:SWALOT
HAUNTER	TRADE:0:GENGAR
HOOTHOOT	LEVEL:20:NOCTOWL
HOPPIP	LEVEL:18:SKIPLOOM
HORSEA	LEVEL:32:SEADRA
HOUNDOUR	LEVEL:24:HOUNDOOM
IGGLYBUFF	FRIENDSHIP:0:JIGGLYPUFF
IVYSAUR	LEVEL:32:VENUSAUR
JIGGLYPUFF	ITEM:ITEM_MOON_STONE:WIGGLYTUFF
KABUTO	LEVEL:40:KABUTOPS
KADABRA	TRADE:0:ALAKAZAM
KAKUNA	LEVEL:10:BEEDRILL
KIRLIA	LEVEL:30:GARDEVOIR
KOFFING	LEVEL:35:WEEZING
KRABBY	LEVEL:28:KINGLER
LAIRON	LEVEL:42:AGGRON
LARVITAR	LEVEL:30:PUPITAR
LEDYBA	LEVEL:18:LEDIAN
LILEEP	LEVEL:40:CRADILY
LOMBRE	ITEM:ITEM_WATER_STONE:LUDICOLO
LOTAD	LEVEL:14:LOMBRE
LOUDRED	LEVEL:40:EXPLOUD
MACHOKE	TRADE:0:MACHAMP
MACHOP	LEVEL:28:MACHOKE
MAGBY	LEVEL:30:MAGMAR
MAGIKARP	LEVEL:20:GYARADOS
MAGNEMITE	LEVEL:30:MAGNETON
MAKUHITA	LEVEL:24:HARIYAMA
MANKEY	LEVEL:28:PRIMEAPE
MAREEP	LEVEL:15:FLAAFFY
MARILL	LEVEL:18:AZUMARILL
MARSHTOMP	LEVEL:36:SWAMPERT
MEDITITE	LEVEL:37:MEDICHAM
MEOWTH	LEVEL:28:PERSIAN
METANG	LEVEL:45:METAGROSS
METAPOD	LEVEL:10:BUTTERFREE
MUDKIP	LEVEL:16:MARSHTOMP
NATU	LEVEL:25:XATU
NIDORAN_F	LEVEL:16:NIDORINA
NIDORAN_M	LEVEL:16:NIDORINO
NIDORINA	ITEM:ITEM_MOON_STONE:NIDOQUEEN
NIDORINO	ITEM:ITEM_MOON_STONE:NIDOKING
NINCADA	LEVEL_NINJASK:20:NINJASK
NUMEL	LEVEL:33:CAMERUPT
NUZLEAF	ITEM:ITEM_LEAF_STONE:SHIFTRY
ODDISH	LEVEL:21:GLOOM
OMANYTE	LEVEL:40:OMASTAR
ONIX	TRADE_ITEM:ITEM_METAL_COAT:STEELIX
PARAS	LEVEL:24:PARASECT
PHANPY	LEVEL:25:DONPHAN
PICHU	FRIENDSHIP:0:PIKACHU
PIDGEOTTO	LEVEL:36:PIDGEOT
PIDGEY	LEVEL:18:PIDGEOTTO
PIKACHU	ITEM:ITEM_THUNDER_STONE:RAICHU
PINECO	LEVEL:31:FORRETRESS
POLIWAG	LEVEL:25:POLIWHIRL
POLIWHIRL	ITEM:ITEM_WATER_STONE:POLIWRATH
PONYTA	LEVEL:40:RAPIDASH
POOCHYENA	LEVEL:18:MIGHTYENA
PORYGON	TRADE_ITEM:ITEM_UP_GRADE:PORYGON2
PSYDUCK	LEVEL:33:GOLDUCK
PUPITAR	LEVEL:55:TYRANITAR
QUILAVA	LEVEL:36:TYPHLOSION
RALTS	LEVEL:20:KIRLIA
RATTATA	LEVEL:20:RATICATE
REMORAID	LEVEL:25:OCTILLERY
RHYHORN	LEVEL:42:RHYDON
SANDSHREW	LEVEL:22:SANDSLASH
SCYTHER	TRADE_ITEM:ITEM_METAL_COAT:SCIZOR
SEADRA	TRADE_ITEM:ITEM_DRAGON_SCALE:KINGDRA
SEALEO	LEVEL:44:WALREIN
SEEDOT	LEVEL:14:NUZLEAF
SEEL	LEVEL:34:DEWGONG
SENTRET	LEVEL:15:FURRET
SHELGON	LEVEL:50:SALAMENCE
SHELLDER	ITEM:ITEM_WATER_STONE:CLOYSTER
SHROOMISH	LEVEL:23:BRELOOM
SHUPPET	LEVEL:37:BANETTE
SILCOON	LEVEL:10:BEAUTIFLY
SKIPLOOM	LEVEL:27:JUMPLUFF
SKITTY	ITEM:ITEM_MOON_STONE:DELCATTY
SLAKOTH	LEVEL:18:VIGOROTH
SLOWPOKE	LEVEL:37:SLOWBRO
SLUGMA	LEVEL:38:MAGCARGO
SMOOCHUM	LEVEL:30:JYNX
SNORUNT	LEVEL:42:GLALIE
SNUBBULL	LEVEL:23:GRANBULL
SPEAROW	LEVEL:20:FEAROW
SPHEAL	LEVEL:32:SEALEO
SPINARAK	LEVEL:22:ARIADOS
SPOINK	LEVEL:32:GRUMPIG
SQUIRTLE	LEVEL:16:WARTORTLE
STARYU	ITEM:ITEM_WATER_STONE:STARMIE
SUNKERN	ITEM:ITEM_SUN_STONE:SUNFLORA
SURSKIT	LEVEL:22:MASQUERAIN
SWABLU	LEVEL:35:ALTARIA
SWINUB	LEVEL:33:PILOSWINE
TAILLOW	LEVEL:22:SWELLOW
TEDDIURSA	LEVEL:30:URSARING
TENTACOOL	LEVEL:30:TENTACRUEL
TOGEPI	FRIENDSHIP:0:TOGETIC
TORCHIC	LEVEL:16:COMBUSKEN
TOTODILE	LEVEL:18:CROCONAW
TRAPINCH	LEVEL:35:VIBRAVA
TREECKO	LEVEL:16:GROVYLE
TYROGUE	LEVEL_ATK_LT_DEF:20:HITMONCHAN
VENONAT	LEVEL:31:VENOMOTH
VIBRAVA	LEVEL:45:FLYGON
VIGOROTH	LEVEL:36:SLAKING
VOLTORB	LEVEL:30:ELECTRODE
VULPIX	ITEM:ITEM_FIRE_STONE:NINETALES
WAILMER	LEVEL:40:WAILORD
WARTORTLE	LEVEL:36:BLASTOISE
WEEDLE	LEVEL:7:KAKUNA
WEEPINBELL	ITEM:ITEM_LEAF_STONE:VICTREEBEL
WHISMUR	LEVEL:20:LOUDRED
WINGULL	LEVEL:25:PELIPPER
WOOPER	LEVEL:20:QUAGSIRE
WURMPLE	LEVEL_SILCOON:7:SILCOON
WYNAUT	LEVEL:15:WOBBUFFET
ZIGZAGOON	LEVEL:20:LINOONE
ZUBAT	LEVEL:22:GOLBAT
