ABRA	25	20	15	105	55	90	PSYCHIC	PSYCHIC	MEDIUM_SLOW	73	200
ABSOL	65	130	60	75	60	75	DARK	DARK	MEDIUM_SLOW	174	30
AERODACTYL	80	105	65	60	75	130	ROCK	FLYING	SLOW	202	45
AGGRON	70	110	180	60	60	50	STEEL	ROCK	SLOW	205	45
AIPOM	55	70	55	40	55	85	NORMAL	NORMAL	FAST	94	45
ALAKAZAM	55	50	45	135	85	120	PSYCHIC	PSYCHIC	MEDIUM_SLOW	186	50
ALTARIA	75	70	90	70	105	80	DRAGON	FLYING	ERRATIC	188	45
AMPHAROS	90	75	75	115	90	55	ELECTRIC	ELECTRIC	MEDIUM_SLOW	194	45
ANORITH	45	95	50	40	50	75	ROCK	BUG	ERRATIC	119	45
ARBOK	60	85	69	65	79	80	POISON	POISON	MEDIUM_FAST	147	90
ARCANINE	90	110	80	100	80	95	FIRE	FIRE	SLOW	213	75
ARIADOS	70	90	70	60	60	40	BUG	POISON	FAST	134	90
ARMALDO	75	125	100	70	80	45	ROCK	BUG	ERRATIC	200	45
ARON	50	70	100	40	40	30	STEEL	ROCK	SLOW	96	180
ARTICUNO	90	85	100	95	125	85	ICE	FLYING	SLOW	215	3
AZUMARILL	100	50	80	50	80	50	WATER	WATER	FAST	153	75
AZURILL	50	20	40	20	40	20	NORMAL	NORMAL	FAST	33	150
BAGON	45	75	60	40	30	50	DRAGON	DRAGON	SLOW	89	45
BALTOY	40	40	55	40	70	55	GROUND	PSYCHIC	MEDIUM_FAST	58	255
BANETTE	64	115	65	83	63	65	GHOST	GHOST	FAST	179	45
BARBOACH	50	48	43	46	41	60	WATER	GROUND	MEDIUM_FAST	92	190
BAYLEEF	60	62	80	63	80	60	GRASS	GRASS	MEDIUM_SLOW	141	45
BEAUTIFLY	60	70	50	90	50	65	BUG	FLYING	MEDIUM_FAST	161	45
BEEDRILL	65	80	40	45	80	75	BUG	POISON	MEDIUM_FAST	159	45
BELDUM	40	55	80	35	60	30	STEEL	PSYCHIC	SLOW	103	3
BELLOSSOM	75	80	85	90	100	50	GRASS	GRASS	MEDIUM_SLOW	184	45
BELLSPROUT	50	75	35	70	30	40	GRASS	POISON	MEDIUM_SLOW	84	255
BLASTOISE	79	83	100	85	105	78	WATER	WATER	MEDIUM_SLOW	210	45
BLAZIKEN	80	120	70	110	70	80	FIRE	FIGHTING	MEDIUM_SLOW	209	45
BLISSEY	255	10	10	75	135	55	NORMAL	NORMAL	FAST	255	30
BRELOOM	60	130	80	60	60	70	GRASS	FIGHTING	FLUCTUATING	165	90
BUTTERFREE	60	45	50	80	80	70	BUG	FLYING	MEDIUM_FAST	160	45
CACNEA	50	85	40	85	40	35	GRASS	GRASS	MEDIUM_SLOW	97	190
CACTURNE	70	115	60	115	60	55	GRASS	DARK	MEDIUM_SLOW	177	60
CAMERUPT	70	100	70	105	75	40	FIRE	GROUND	MEDIUM_FAST	175	150
CARVANHA	45	90	20	65	20	65	WATER	DARK	SLOW	88	225
CASCOON	50	35	55	25	25	15	BUG	BUG	MEDIUM_FAST	72	120
CASTFORM	70	70	70	70	70	70	NORMAL	NORMAL	MEDIUM_FAST	145	45
CATERPIE	45	30	35	20	20	45	BUG	BUG	MEDIUM_FAST	53	255
CELEBI	100	100	100	100	100	100	PSYCHIC	GRASS	MEDIUM_SLOW	64	45
CHANSEY	250	5	5	35	105	50	NORMAL	NORMAL	FAST	255	30
CHARIZARD	78	84	78	109	85	100	FIRE	FLYING	MEDIUM_SLOW	209	45
CHARMANDER	39	52	43	60	50	65	FIRE	FIRE	MEDIUM_SLOW	65	45
CHARMELEON	58	64	58	80	65	80	FIRE	FIRE	MEDIUM_SLOW	142	45
CHIKORITA	45	49	65	49	65	45	GRASS	GRASS	MEDIUM_SLOW	64	45
CHIMECHO	65	50	70	95	80	65	PSYCHIC	PSYCHIC	FAST	147	45
CHINCHOU	75	38	38	56	56	67	WATER	ELECTRIC	SLOW	90	190
CLAMPERL	35	64	85	74	55	32	WATER	WATER	ERRATIC	142	255
