ABRA	FOCUS_PUNCH,CALM_MIND,TOXIC,HIDDEN_POWER,SUNNY_DAY,TAUNT,LIGHT_SCREEN,PROTECT,RAIN_DANCE,SAFEGUARD,FRUSTRATION,IRON_TAIL,RETURN,PSYCHIC,SHADOW_BALL,DOUBLE_TEAM,REFLECT,SHOCK_WAVE,TORMENT,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,SKILL_SWAP,SNATCH,FLASH
ABSOL	WATER_PULSE,CALM_MIND,TOXIC,HAIL,HIDDEN_POWER,SUNNY_DAY,TAUNT,ICE_BEAM,BLIZZARD,HYPER_BEAM,PROTECT,RAIN_DANCE,FRUSTRATION,IRON_TAIL,THUNDERBOLT,THUNDER,RETURN,SHADOW_BALL,DOUBLE_TEAM,SHOCK_WAVE,FLAMETHROWER,SANDSTORM,FIRE_BLAST,AERIAL_ACE,TORMENT,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,SNATCH,CUT,STRENGTH,FLASH,ROCK_SMASH
AERODACTYL	DRAGON_CLAW,ROAR,TOXIC,HIDDEN_POWER,SUNNY_DAY,TAUNT,HYPER_BEAM,PROTECT,RAIN_DANCE,FRUSTRATION,IRON_TAIL,EARTHQUAKE,RETURN,DOUBLE_TEAM,FLAMETHROWER,SANDSTORM,FIRE_BLAST,ROCK_TOMB,AERIAL_ACE,TORMENT,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,STEEL_WING,FLY,STRENGTH,ROCK_SMASH
AGGRON	FOCUS_PUNCH,DRAGON_CLAW,WATER_PULSE,ROAR,TOXIC,HIDDEN_POWER,SUNNY_DAY,TAUNT,ICE_BEAM,BLIZZARD,HYPER_BEAM,PROTECT,RAIN_DANCE,FRUSTRATION,SOLAR_BEAM,IRON_TAIL,THUNDERBOLT,THUNDER,EARTHQUAKE,RETURN,DIG,BRICK_BREAK,DOUBLE_TEAM,SHOCK_WAVE,FLAMETHROWER,SANDSTORM,FIRE_BLAST,ROCK_TOMB,AERIAL_ACE,FACADE,SECRET_POWER,REST,ATTRACT,CUT,SURF,STRENGTH,ROCK_SMASH
AIPOM	FOCUS_PUNCH,WATER_PULSE,TOXIC,HIDDEN_POWER,SUNNY_DAY,TAUNT,PROTECT,RAIN_DANCE,FRUSTRATION,SOLAR_BEAM,IRON_TAIL,THUNDERBOLT,THUNDER,RETURN,DIG,SHADOW_BALL,BRICK_BREAK,DOUBLE_TEAM,SHOCK_WAVE,AERIAL_ACE,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,SNATCH,CUT,STRENGTH,ROCK_SMASH
ALAKAZAM	FOCUS_PUNCH,CALM_MIND,TOXIC,HIDDEN_POWER,SUNNY_DAY,TAUNT,HYPER_BEAM,LIGHT_SCREEN,PROTECT,RAIN_DANCE,SAFEGUARD,FRUSTRATION,IRON_TAIL,RETURN,PSYCHIC,SHADOW_BALL,DOUBLE_TEAM,REFLECT,SHOCK_WAVE,TORMENT,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,SKILL_SWAP,SNATCH,FLASH
ALTARIA	DRAGON_CLAW,ROAR,TOXIC,HIDDEN_POWER,SUNNY_DAY,ICE_BEAM,HYPER_BEAM,PROTECT,RAIN_DANCE,SAFEGUARD,FRUSTRATION,SOLAR_BEAM,IRON_TAIL,EARTHQUAKE,RETURN,DOUBLE_TEAM,FLAMETHROWER,FIRE_BLAST,AERIAL_ACE,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,STEEL_WING,FLY,ROCK_SMASH
AMPHAROS	FOCUS_PUNCH,TOXIC,HIDDEN_POWER,HYPER_BEAM,LIGHT_SCREEN,PROTECT,RAIN_DANCE,FRUSTRATION,IRON_TAIL,THUNDERBOLT,THUNDER,RETURN,BRICK_BREAK,DOUBLE_TEAM,SHOCK_WAVE,FACADE,SECRET_POWER,REST,ATTRACT,STRENGTH,FLASH,ROCK_SMASH
ANORITH	WATER_PULSE,TOXIC,HIDDEN_POWER,SUNNY_DAY,PROTECT,FRUSTRATION,RETURN,DIG,BRICK_BREAK,DOUBLE_TEAM,SANDSTORM,ROCK_TOMB,AERIAL_ACE,FACADE,SECRET_POWER,REST,ATTRACT,CUT,ROCK_SMASH
ARBOK	TOXIC,HIDDEN_POWER,SUNNY_DAY,HYPER_BEAM,PROTECT,RAIN_DANCE,GIGA_DRAIN,FRUSTRATION,IRON_TAIL,EARTHQUAKE,RETURN,DIG,DOUBLE_TEAM,SLUDGE_BOMB,TORMENT,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,SNATCH,STRENGTH
ARCANINE	ROAR,TOXIC,HIDDEN_POWER,SUNNY_DAY,HYPER_BEAM,PROTECT,FRUSTRATION,IRON_TAIL,RETURN,DIG,DOUBLE_TEAM,FLAMETHROWER,FIRE_BLAST,AERIAL_ACE,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,OVERHEAT,STRENGTH,ROCK_SMASH
ARIADOS	TOXIC,HIDDEN_POWER,SUNNY_DAY,HYPER_BEAM,PROTECT,GIGA_DRAIN,FRUSTRATION,SOLAR_BEAM,RETURN,DIG,PSYCHIC,DOUBLE_TEAM,SLUDGE_BOMB,FACADE,SECRET_POWER,REST,ATTRACT,THIEF,FLASH
