HM01	CUT
HM02	FLY
HM03	SURF
HM04	STRENGTH
HM05	FLASH
HM06	ROCK_SMASH
HM07	WATERFALL
HM08	DIVE
TM01	FOCUS_PUNCH
TM02	DRAGON_CLAW
TM03	WATER_PULSE
TM04	CALM_MIND
TM05	ROAR
TM06	TOXIC
TM07	HAIL
TM08	BULK_UP
TM09	BULLET_SEED
TM10	HIDDEN_POWER
TM11	SUNNY_DAY
TM12	TAUNT
TM13	ICE_BEAM
TM14	BLIZZARD
TM15	HYPER_BEAM
TM16	LIGHT_SCREEN
TM17	PROTECT
TM18	RAIN_DANCE
TM19	GIGA_DRAIN
TM20	SAFEGUARD
TM21	FRUSTRATION
TM22	SOLAR_BEAM
TM23	IRON_TAIL
TM24	THUNDERBOLT
TM25	THUNDER
TM26	EARTHQUAKE
TM27	RETURN
TM28	DIG
TM29	PSYCHIC
TM30	SHADOW_BALL
TM31	BRICK_BREAK
TM32	DOUBLE_TEAM
TM33	REFLECT
TM34	SHOCK_WAVE
TM35	FLAMETHROWER
TM36	SLUDGE_BOMB
TM37	SANDSTORM
TM38	FIRE_BLAST
TM39	ROCK_TOMB
TM40	AERIAL_ACE
TM41	TORMENT
TM42	FACADE
TM43	SECRET_POWER
TM44	REST
TM45	ATTRACT
TM46	THIEF
TM47	STEEL_WING
TM48	SKILL_SWAP
TM49	SNATCH
TM50	OVERHEAT
