TRAINER_AARON	dragon_tamer
TRAINER_ABIGAIL_1	cycling_triathlete_f
TRAINER_ABIGAIL_2	cycling_triathlete_f
TRAINER_ABIGAIL_3	cycling_triathlete_f
TRAINER_ABIGAIL_4	cycling_triathlete_f
TRAINER_ABIGAIL_5	cycling_triathlete_f
TRAINER_AIDAN	bird_keeper
TRAINER_AISHA	battle_girl
TRAINER_ALAN	hiker
TRAINER_ALBERT	cooltrainer_m
TRAINER_ALBERTO	bird_keeper
TRAINER_ALEX	bird_keeper
TRAINER_ALEXA	cooltrainer_f
TRAINER_ALEXIA	cooltrainer_f
TRAINER_ALEXIS	psychic_f
TRAINER_ALICE	swimmer_f
TRAINER_ALIX	psychic_f
TRAINER_ALLEN	youngster
TRAINER_ALLISON	swimming_triathlete_f
TRAINER_ALVARO	psychic_m
TRAINER_ALYSSA	cycling_triathlete_f
TRAINER_AMY_AND_LIV_1	twins
TRAINER_AMY_AND_LIV_2	twins
TRAINER_AMY_AND_LIV_3	twins
TRAINER_AMY_AND_LIV_4	twins
TRAINER_AMY_AND_LIV_5	twins
TRAINER_AMY_AND_LIV_6	twins
TRAINER_ANABEL	salon_maiden_anabel
TRAINER_ANDREA	lass
TRAINER_ANDRES_1	ruin_maniac
TRAINER_ANDRES_2	ruin_maniac
TRAINER_ANDRES_3	ruin_maniac
TRAINER_ANDRES_4	ruin_maniac
TRAINER_ANDRES_5	ruin_maniac
TRAINER_ANDREW	fisherman
TRAINER_ANGELICA	parasol_lady
TRAINER_ANGELINA	picnicker
TRAINER_ANGELO	bug_maniac
TRAINER_ANNA_AND_MEG_1	sr_and_jr
TRAINER_ANNA_AND_MEG_2	sr_and_jr
TRAINER_ANNA_AND_MEG_3	sr_and_jr
TRAINER_ANNA_AND_MEG_4	sr_and_jr
TRAINER_ANNA_AND_MEG_5	sr_and_jr
TRAINER_ANNIKA	pokefan_f
TRAINER_ANTHONY	cycling_triathlete_m
TRAINER_ARCHIE	aqua_leader_archie
TRAINER_ASHLEY	picnicker
TRAINER_ATHENA	cooltrainer_f
TRAINER_ATSUSHI	black_belt
TRAINER_AURON	expert_m
TRAINER_AUSTINA	tuber_f
TRAINER_AUTUMN	picnicker
TRAINER_AXLE	kindler
TRAINER_BARNY	fisherman
TRAINER_BARRY	swimmer_m
TRAINER_BEAU	camper
TRAINER_BECK	bird_keeper
TRAINER_BECKY	picnicker
TRAINER_BEN	youngster
TRAINER_BENJAMIN_1	cycling_triathlete_m
TRAINER_BENJAMIN_2	cycling_triathlete_m
TRAINER_BENJAMIN_3	cycling_triathlete_m
TRAINER_BENJAMIN_4	cycling_triathlete_m
TRAINER_BENJAMIN_5	cycling_triathlete_m
TRAINER_BENNY	bird_keeper
TRAINER_BERKE	cooltrainer_m
TRAINER_BERNIE_1	kindler
TRAINER_BERNIE_2	kindler
TRAINER_BERNIE_3	kindler
TRAINER_BERNIE_4	kindler
TRAINER_BERNIE_5	kindler
TRAINER_BETH	swimmer_f
TRAINER_BETHANY	pokefan_f
TRAINER_BEVERLY	swimmer_f
TRAINER_BIANCA	picnicker
TRAINER_BILLY	youngster
TRAINER_BLAKE	psychic_m
TRAINER_BRANDEN	camper
TRAINER_BRANDI	psychic_f
TRAINER_BRANDON	pyramid_king_brandon
TRAINER_BRAWLY_1	leader_brawly
TRAINER_BRAWLY_2	leader_brawly
TRAINER_BRAWLY_3	leader_brawly
TRAINER_BRAWLY_4	leader_brawly
TRAINER_BRAWLY_5	leader_brawly
TRAINER_BRAXTON	cooltrainer_m
TRAINER_BRENDA	swimmer_f
TRAINER_BRENDAN_LILYCOVE_MUDKIP	brendan
TRAINER_BRENDAN_LILYCOVE_TORCHIC	brendan
TRAINER_BRENDAN_LILYCOVE_TREECKO	brendan
TRAINER_BRENDAN_PLACEHOLDER	rs_brendan
TRAINER_BRENDAN_ROUTE_103_MUDKIP	brendan
TRAINER_BRENDAN_ROUTE_103_TORCHIC	brendan
TRAINER_BRENDAN_ROUTE_103_TREECKO	brendan
TRAINER_BRENDAN_ROUTE_110_MUDKIP	brendan
TRAINER_BRENDAN_ROUTE_110_TORCHIC	brendan
TRAINER_BRENDAN_ROUTE_110_TREECKO	brendan
TRAINER_BRENDAN_ROUTE_119_MUDKIP	brendan
TRAINER_BRENDAN_ROUTE_119_TORCHIC	brendan
TRAINER_BRENDAN_ROUTE_119_TREECKO	brendan
TRAINER_BRENDAN_RUSTBORO_MUDKIP	brendan
TRAINER_BRENDAN_RUSTBORO_TORCHIC	brendan
TRAINER_BRENDAN_RUSTBORO_TREECKO	brendan
TRAINER_BRENDEN	sailor
TRAINER_BRENT	bug_maniac
TRAINER_BRIANNA	lady
TRAINER_BRICE	hiker
TRAINER_BRIDGET	beauty
TRAINER_BROOKE_1	cooltrainer_f
TRAINER_BROOKE_2	cooltrainer_f
TRAINER_BROOKE_3	cooltrainer_f
TRAINER_BROOKE_4	cooltrainer_f
TRAINER_BROOKE_5	cooltrainer_f
TRAINER_BRYAN	ruin_maniac
TRAINER_BRYANT	kindler
TRAINER_CALE	bug_maniac
TRAINER_CALLIE	battle_girl
TRAINER_CALVIN_1	youngster
TRAINER_CALVIN_2	youngster
TRAINER_CALVIN_3	youngster
TRAINER_CALVIN_4	youngster
TRAINER_CALVIN_5	youngster
TRAINER_CAMDEN	swimming_triathlete_m
TRAINER_CAMERON_1	psychic_m
TRAINER_CAMERON_2	psychic_m
TRAINER_CAMERON_3	psychic_m
TRAINER_CAMERON_4	psychic_m
TRAINER_CAMERON_5	psychic_m
TRAINER_CAMRON	swimming_triathlete_m
TRAINER_CARLEE	swimmer_f
TRAINER_CAROL	picnicker
TRAINER_CAROLINA	cooltrainer_f
TRAINER_CAROLINE	cooltrainer_f
TRAINER_CARTER	fisherman
TRAINER_CATHERINE_1	pokemon_ranger_f
TRAINER_CATHERINE_2	pokemon_ranger_f
