TRAINER_AARON	BAGON:34
TRAINER_ABIGAIL_1	MAGNEMITE:16
TRAINER_ABIGAIL_2	MAGNEMITE:28
TRAINER_ABIGAIL_3	MAGNEMITE:31
TRAINER_ABIGAIL_4	MAGNETON:34
TRAINER_ABIGAIL_5	MAGNETON:37
TRAINER_AIDAN	SWELLOW:32,SKARMORY:32
TRAINER_AISHA	MEDITITE:17
TRAINER_ALAN	GEODUDE:22,NOSEPASS:22,GRAVELER:22
TRAINER_ALBERT	MAGNETON:43,MUK:43
TRAINER_ALBERTO	PELIPPER:30,XATU:30
TRAINER_ALEX	NATU:33,SWELLOW:33
TRAINER_ALEXA	GLOOM:34,AZUMARILL:34
TRAINER_ALEXIA	WIGGLYTUFF:26
TRAINER_ALEXIS	KIRLIA:41,XATU:41
TRAINER_ALICE	GOLDEEN:24,WINGULL:24,GOLDEEN:24
TRAINER_ALIX	KADABRA:26,KIRLIA:26
TRAINER_ALLEN	ZIGZAGOON:4,TAILLOW:3
TRAINER_ALLISON	WINGULL:27,STARYU:33
TRAINER_ALVARO	BANETTE:41,KADABRA:41
TRAINER_ALYSSA	MAGNEMITE:15
TRAINER_AMY_AND_LIV_1	PLUSLE:15,MINUN:15
TRAINER_AMY_AND_LIV_2	PLUSLE:27,MINUN:27
TRAINER_AMY_AND_LIV_3	PLUSLE:9,MINUN:9
TRAINER_AMY_AND_LIV_4	PLUSLE:30,MINUN:30
TRAINER_AMY_AND_LIV_5	PLUSLE:33,MINUN:33
TRAINER_AMY_AND_LIV_6	PLUSLE:36,MINUN:36
TRAINER_ANABEL	BELDUM:5
TRAINER_ANDREA	LUVDISC:40
TRAINER_ANDRES_1	SANDSHREW:25,SANDSHREW:25
TRAINER_ANDRES_2	SANDSHREW:31,SANDSHREW:31
TRAINER_ANDRES_3	NOSEPASS:33,SANDSHREW:33,SANDSHREW:33
TRAINER_ANDRES_4	NOSEPASS:35,SANDSHREW:35,SANDSHREW:35
TRAINER_ANDRES_5	NOSEPASS:37,SANDSLASH:37,SANDSLASH:37
TRAINER_ANDREW	MAGIKARP:5,TENTACOOL:10,MAGIKARP:15
TRAINER_ANGELICA	CASTFORM:30
TRAINER_ANGELINA	LOMBRE:18,MARILL:18
TRAINER_ANGELO	ILLUMISE:17,VOLBEAT:17
TRAINER_ANNA_AND_MEG_1	ZIGZAGOON:15,MAKUHITA:17
TRAINER_ANNA_AND_MEG_2	ZIGZAGOON:28,MAKUHITA:30
TRAINER_ANNA_AND_MEG_3	ZIGZAGOON:31,MAKUHITA:33
TRAINER_ANNA_AND_MEG_4	LINOONE:34,MAKUHITA:36
TRAINER_ANNA_AND_MEG_5	LINOONE:36,HARIYAMA:38
TRAINER_ANNIKA	FEEBAS:39,FEEBAS:39
TRAINER_ANTHONY	MAGNEMITE:14,MAGNEMITE:14
TRAINER_ARCHIE	MIGHTYENA:41,CROBAT:41,SHARPEDO:43
TRAINER_ASHLEY	SWABLU:27,SWABLU:27,SWABLU:27
TRAINER_ATHENA	MANECTRIC:32,LINOONE:32
TRAINER_ATSUSHI	HARIYAMA:32
TRAINER_AURON	MANECTRIC:33,MACHAMP:33
TRAINER_AUSTINA	MARILL:26
TRAINER_AUTUMN	SHROOMISH:21
TRAINER_AXLE	NUMEL:23
TRAINER_BARNY	TENTACOOL:25,CARVANHA:25
TRAINER_BARRY	GYARADOS:34
TRAINER_BEAU	BALTOY:21,SANDSHREW:21,BALTOY:21
TRAINER_BECK	TROPIUS:34
TRAINER_BECKY	SANDSHREW:22,MARILL:22
TRAINER_BEN	ZIGZAGOON:17,GULPIN:17
TRAINER_BENJAMIN_1	MAGNEMITE:16
TRAINER_BENJAMIN_2	MAGNEMITE:30
TRAINER_BENJAMIN_3	MAGNEMITE:33
TRAINER_BENJAMIN_4	MAGNETON:36
TRAINER_BENJAMIN_5	MAGNETON:39
TRAINER_BENNY	SWELLOW:36,PELIPPER:36,XATU:36
TRAINER_BERKE	VIGOROTH:26
TRAINER_BERNIE_1	SLUGMA:18,WINGULL:18
TRAINER_BERNIE_2	SLUGMA:26,WINGULL:26
TRAINER_BERNIE_3	SLUGMA:29,PELIPPER:29
TRAINER_BERNIE_4	SLUGMA:32,PELIPPER:32
TRAINER_BERNIE_5	MAGCARGO:35,PELIPPER:35
TRAINER_BETH	GOLDEEN:26
TRAINER_BETHANY	AZURILL:35,MARILL:37,AZUMARILL:39
TRAINER_BEVERLY	WINGULL:25,WAILMER:25
TRAINER_BIANCA	SHROOMISH:18
TRAINER_BILLY	ZIGZAGOON:5,SEEDOT:7
TRAINER_BLAKE	GIRAFARIG:36
TRAINER_BRANDEN	TAILLOW:22,NUZLEAF:22
TRAINER_BRANDI	RALTS:17
TRAINER_BRANDON	BELDUM:5
TRAINER_BRAWLY_1	MACHOP:16,MEDITITE:16,MAKUHITA:19
TRAINER_BRAWLY_2	MACHAMP:33,MEDITITE:33,HITMONTOP:35,HARIYAMA:37
TRAINER_BRAWLY_3	MACHAMP:38,MEDICHAM:38,HITMONTOP:40,HARIYAMA:42
